"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 26 04:09:21 UTC 2023","Tue Sep 26 04:09:39 UTC 2023","18374","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Tue Sep 26 02:23:30 UTC 2023","Tue Sep 26 02:23:35 UTC 2023","5814","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Tue Sep 26 03:19:26 UTC 2023","Tue Sep 26 03:19:37 UTC 2023","11310","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Tue Sep 26 03:27:10 UTC 2023","Tue Sep 26 03:27:16 UTC 2023","6739","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Tue Sep 26 02:21:02 UTC 2023","Tue Sep 26 02:21:25 UTC 2023","23065","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Tue Sep 26 03:04:25 UTC 2023","Tue Sep 26 03:04:47 UTC 2023","21764","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Tue Sep 26 02:34:25 UTC 2023","Tue Sep 26 02:34:29 UTC 2023","3859","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Sep 26 02:34:10 UTC 2023","Tue Sep 26 02:34:13 UTC 2023","3273","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Sep 26 04:24:35 UTC 2023","Tue Sep 26 04:24:37 UTC 2023","1974","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Sep 26 02:59:28 UTC 2023","Tue Sep 26 02:59:31 UTC 2023","2628","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Tue Sep 26 03:23:42 UTC 2023","Tue Sep 26 03:24:06 UTC 2023","23999","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Tue Sep 26 03:41:48 UTC 2023","Tue Sep 26 03:41:50 UTC 2023","2446","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Tue Sep 26 03:41:12 UTC 2023","Tue Sep 26 03:41:15 UTC 2023","3373","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Tue Sep 26 03:20:09 UTC 2023","Tue Sep 26 03:20:21 UTC 2023","11548","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Tue Sep 26 02:32:23 UTC 2023","Tue Sep 26 02:32:25 UTC 2023","2049","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Sep 26 04:04:04 UTC 2023","Tue Sep 26 04:04:07 UTC 2023","2381","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Tue Sep 26 04:11:24 UTC 2023","Tue Sep 26 04:12:47 UTC 2023","83109","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Tue Sep 26 03:41:15 UTC 2023","Tue Sep 26 03:41:18 UTC 2023","2748","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
